pms	classification	notes
Grasse a l'é na sità e comun-a fransèisa, postà ant j'Alp Marìtime an Còsta Asura, an sij contrafòrt dle prealp. Sò nòm a ven, peul desse, da Crassus o Grassus, un rich propietari ëd tère. A conta 49100 abitant. La comun-a a l'ha arseivù l'arconossiment ëd Sità e pais d'art e dë stòria. Contnù 1 Ël sènter ëstòrich 2 Conomìa 3 Leu d'anteresse 4 Eveniment e manifestassion 5 Anliure Ël sènter ëstòrichModifiché Ant ël sènter ëstòrich a-i son na desen-a ëd ca medievaj ch'a testimònio ëd n'época ëd benesse ëd la sità. ConomìaModifiché Grasse a l'é un sènter amportant për la përfumerìa. A l'adoss l'atività dla sità a l'era ansentrà an sle pel. Al prinsipi dël sécol ch'a fa XVIII ij guantié-përfumé ëd Grasse as son organisasse an corporassion con dij sò statù. Ma a l'ancamin dël sécol ch'a fa XIX la concorensa dle ca parisin-e a l'ha obligà ij përfumé ëd Grasse a bandoné ël comersi dij prodot finì e a voltesse vers col ëd le materie prime. L'andustria dj'essense ëd fior a conta al di d'ancheuj na tranten-a ëd bòite a Grasse (7% dla gira d'afé mondial ëd l'andustria dij përfum). Le doe colture dominante a son: la reusa ëd maj a fior sempie e ël giussmin, la varietà a fior grande, entà ansima a dël giussmin oficinal. Peui a-i ven ël portugal a fruta amèra.	correct (natural sentence)	
Fërvé a l'é lë scond mèis ëd l'ann conforma al calendari gregorian. A conta 28 di (29 ant j'agn bissestij). Sò nòm a ven dal latin Februarius, visadì "(ël mèis) dij Februa". Cost-sì a l'é ël plural ëd Februus, ël nòm dij rit ëd purificassion che ij Roman a selebravo ai 15 dël mèis. Ël calendari roman antich a contava mach 10 mèis e 304 di, përché l'invern a l'era considerà na stason sensa mèis. Ël prim mèis ëd l'ann a l'era mars. Ij mèis ëd gené e fërvé a l'ha giontaje ël re Numa Pompili. Ant l'emisfer nòrd fërvé a l'é un mèis invernal, mentre che ant l'emisfer sud a l'é estiv e a corispond climaticament a nòst mèis d'ost.	correct (natural sentence)	
A confin-a con Algerìa, Repùblica Saharawi e j'"exclave" ëspagneule ëd Ceuta e Melilla. A l'é bagnà dal Mar Mediterani e da l'Océan Atlàntich. La capital a l'é Rabat. A l'ha na surfassa ëd 446.550 km² e a conta anviron 34 milion d'abitant. Anté ch'as treuvaModifiché Stòria modernaModifiché Ël Maròch a l'é stàit un protetorà dla Fransa e dla Spagna dal 1912 al 1956, quand ch'a l'ha otnù l'indipendensa.	correct (natural sentence)	
L'evolussion a l'é la stòria dle trasformassion ëd na spece animal o vegetal ant ël temp. Ant un sens pi largh, l'evolussion a l'é ëdcò la stòria dla vita an sla Tèra.	correct (natural sentence)	
Ant un sòlid le fòrse ëd coesion a son grande, përchè le molécole a son motobin davzin-e. Si ël sòlid a l'é s-ciapà, a l'é malfé possé le molécole davzin a basta përchè coste fòrse a torno a esse grande. Cand che na sbara ëd fer a l'é rota, ij tòch a peulo compon-se për da bin, ma sensa ch'a-i sia coesion. Doe plance ordinarie ëd véder o d'assel butà tacà a mostro pòca coesion, përchè as toco mach an pòchi pont, ma a l'é possìbil sulié coste surfasse a basta për che, an butandje a contat, le fòrse ëd coesion a dvento motobin grande.	correct (natural sentence)	
Charles Babbage a l'era nassù a Teignmouth, ant ël Devon, ël 26 dë dzèmber dël 1791 e a l'é mòrt a Londra ël 18 d'otóber dël 1871. Dël 1812 a l'é stàit, ansema a Peacock e Herschel an tra ij fondador ëd la Sossietà Analìtica, dont ël but a l'era ëd fé rivé an Anghiltèra ij dësvlup recent dla matemàtica europenga, adatene le notassion e arformé l'ansegnament. Dël 1816 Babbage a l'é vnù mèmber ëd la Sossietà Real e dal 1828 al 1839 a l'ha mostrà a l'università ëd Cambridge. Lë spron dàit da Babbage a la modernisassion ëd la matemàtica an Anghiltèra a l'ha përmetune ël dësvlup ant le desen-e d'agn apress, mersì, antra j'àutri, a Cayley, Sylvester e Hamilton. Motobin angignos, Babbage as anteressa a ancaminé dal 1812 a la fabricassion d'utiss mecànich për fé dij cont e dël 1823 a oten n'agiut dal goern për dësvlupé sò proget. Dël 1833 a progeta n'angign (da chiel ciamà Màchina Analìtica) bon a fé d'operassion aritmétiche mersì a dle schede forà, un cé dl'ordinator (le nòte ëd Babbage ch'a rësguardo s'angign a son ëstàite artrovà dël 1937). Sa màchina a l'é stàita pa realisà, përchè a soa época a-i mancava la precision técnica për fela marcé. Tutun Babbage a l'ha viagià (e a l'é vnù ëdcò a Turin dël 1840), për fela conòsse an virola. Sempe creativ, Babbage a l'ha travajà pr'amelioré ël sistema postal anglèis, a l'ha fabricà n'angign pr'ëmzuré l'andi e a l'ha progetà n'utiss për paré via le bes-ce për përmëtte ai treno ëd viagé sensa perìcoj.	correct (natural sentence)	
Saint-Denis a l'é na comun-a fransèisa ëd 94700 abitant (2004), la sità pi popolà dël dipartiment ëd Sen-a Saint-Denis, ant la region ëd l'Ìsola ëd Fransa.	correct (natural sentence)	
Trin (Trino an italian) a l’é un comun ëd 7.714 abitant [1] dla provincia ëd Vërsèj, an sla riva snistra ëd Pò. Contnù 1 Stòria 2 Leu d'anteresse 3 Aministrassion 4 Sità gemelà 5 Anliure esterne 6 Arferiment StòriaModifiché Dël 1631, con la convension ëd Cherasch, Trin a l'é vnùit cap-leugh ëd na provinsa dël ducà 'd Savòja che da Pò a rivava fin-a al Canavèis e a le pòrte ëd Turin. Dël 1763 a l'é stàit alvà al rangh ëd sità dal duca Carl Emanuel III. Leu d'anteresseModifiché La cesa ëd San Michel an Insula Cesa ëd San Michel an Insula Cesa ëd San Fransesch (na vira dedicà a Santa Marìa; a armonta al sécol ch'a fa X, ma a l'é stàita arcostruìa dël 1743)	correct (natural sentence)	
Lanuvio a l'é na comun-a dla region Lassio, provincia ëd Roma, con sirca 9.692 abitant . A s'ëstend për n'aira ëd 43 kilòmetr quadrà, con na densità ëd popolassion ëd 225 ab/km quadrà. A confin-a con Aprilia (LT), Ariccia, Genzano di Roma, Velletri.	correct (natural sentence)	
La lenga prussian-a ò Prussian a l'é na lenga mòrta dël prinsipi dël 1700; a l'era parlà dzortut an Prussia oriental.	correct (natural sentence)	
