it	scn	classification	notes
Tulipa Ruiz (Santos, 19 ottobre 1978) è una cantautrice e illustratrice brasiliana.	Hebe Maria Camargo (Taubaté, 8 di marzu 1929) è na prisintatrici tilivisiva, attrici e cantantrici brasiliana.	incorrect translation	
E sia che vengano attaccati colpe di un singolo individuo che i grandi mali della società, il songwriting della band arriva sempre brutalmente a segno.	L'ipotesi principali è ca u gruppu vosi, 'n quarchi modu, racchiudere tutta a storia ra band na sta traccia.	incorrect translation	
Nel 1866, a seguito della battaglia di Sadowa e della sconfitta austriaca nella Guerra Austro-Prussiana, l'Impero Austriaco iniziò a sperimentare crescenti problemi interni.	Ntô 1866, doppu la Battagghia di Sadowa e dâ scunfitta austrìaca ntâ Guerra Austru Prussiana, lu Mpiru Austrìacu accuminciau a sèntiri granni prubbremi nterni.	correct translation (natural sentence)	
Brad Neely's Harg Nallin' Sclopio Peepio è stato annunciato una settimana prima in anticipo da Adult Swim nella seconda settimana di maggio 2015.	Lu HTC Touch Diamond fu prima disponibbili a Hong Kong nta fini di lu misi di Maiu 2008.	incorrect translation	
Gonzalo Fernández detto di Lara.	Cavaddu grossu ti leva di lu fangu.	incorrect translation	
Nei dintorni si trova la zona naturalistica della Val Clarea.	Appartenti â la Cuvernaturatu di Salah al Din.	incorrect translation	
Continuò a prendere parte a gare di Coppa del Mondo senza aver più ottenuto risultati di rilievo.	Nnì lu secunnu dopuguerra lu partitu cumunista ebbi nnà grandi udienza pupulari.	incorrect translation	
Ma una potenza straniera pare molto interessata ai lavori, e le spie si annidano ovunque.	Sti rapprisintati dunanu spissu cuntu ê sò supiriura, e funzionanu dunqui comu spia.	incorrect translation	
Aprile 2007	Aprili 2007 Giugnu 2007 2007	incorrect translation	
Risālat al-aḥkām fī uṣūl al-aḥkām.	Sirviva pi cadiari lu lettu ntâ mmirnata.	wrong language	
Il Wisconsin viene ammesso come trentesimo Stato degli USA.	Lu Wisconsin è unu dî 50 stati dî Stati Uniti d'America.	incorrect translation	
Iames Tirabassi (a cura di), Antichissima Bismantova.	Pàssanu tempu urigghiannu, pi cullizzinuari nfurmazzioni.	incorrect translation	
XConfessions.com Sito in cui Erika Lust raccoglie confessioni erotiche anonime e le trasforma in cortometraggi.	20 di austu: Lu Senegal si separa dâ fidirazzioni dû Mali e s'addichiara la ndipinnenza.	incorrect translation	
L'opera è di Lello da Orvieto ed è datata 1340 circa.	Lu capulòcu è la cità di Teramu ca havi circa 54'000 abbitanti.	incorrect translation	
Copre più della metà dell'Alaska, per una superficie di 969.318 km².	Havi circa 1'900'000 abbitanti supra na supirfici di 19399 km quatrati.	incorrect translation	
Il collo vescicale lo troviamo tra la vescica e l'uretra.	La scòppula è nu scappiddottu datu tra la crozza e la nuca.	incorrect translation	
A 18 anni Dodecano sarebbe partito come missionario per la Libia.	Quannu appi 23 anni fu missionario n Guatemala.	incorrect translation	
Gli esemplari adulti dovevano superare i due metri di lunghezza.	L'esemplari adultu putiva essiri alti circa 2 mitri di loncuzza.	correct translation (natural sentence)	
La conca di Foppolo è circondata dai Monte Valgussera (2200 m), Pizzo del Vescovo (2175 m), Pizzo Corno Stella (2621 m), Monte Toro (2524 m), Monte Cadelle (2483 m), Monte Valegino (2415 m), Monte Arete (2227 m), Monte Cavallo (2323 m sopra San Simone) e il Monte Pegherolo (2369 m).	Àutri munti mpurtanti dâ riggiuni sunnu: Munti Nironi (1.526 m), Munti Càtria (1.702 m), Munti Penninu (1.570 m), Munti Rutunnu (2.103 m), Munti Fema (1.575 m), Munti Priori (2.334 m), Munti Bovi (2.143 m), Munti Sibbilla (2.175 m), Munti Vaddilonga (2.221 m), Munti Porchi (2.335 m), Munti Argentedda (2.201 m).	incorrect translation	
Lo Gnomo è preoccupato per la sorte degli uomini, da molto tempo non scavano più per cercare tesori nascosti nelle profondità della terra, la loro scomparsa fa temere radicali cambiamenti di vita, come per esempio l'impossibilità di misurare il tempo.	La furtuna nun cci avìa lassatu ca la vita e iddu la disprizziava; e lu disprezzu di la vita è la prima doti di nu ribeddi.	incorrect translation	
URL consultato il 14 ottobre 2015. ^ Il Lodigiano nel Novecento: la cultura (pag.	209) Il Lodigiano nel Novecento: la cultura (pag.	wrong language	
La Mina rasa era della capacità di litri 20,3772; quella colma, di 1/8 più grande della mina rasa, era di litri 22,9243.	Buenos Aires è la capitali e la cità cchiù granni di l'Argintina; havi 2.776.138 abbitanti e la so' supirfici è di 202,90 km².	incorrect translation	
Dato il tipo di dentatura, sembra che le prede venissero inghiottite intere.	Comu è usuali cu sti tipi di listi, chissa havi giniratu li sòliti pulèmici.	incorrect translation	
